PinNo,Measurement,NoOfMeasurement,Stdev
1,0.07608,5,0.00003
2,0.16692,5,0.00004
3,0.33094,5,0.00002
4,0.47714,5,0.00007
5,0.69008,5,0.00004
6,0.87621,5,0.00002
7,1.07596,5,0.00005
8,1.28094,5,0.00003
9,1.52777,5,0.00001
10,1.79533,5,0.00006
11,2.12837,5,0.00004
12,2.39221,5,0.00003
13,2.51805,5,0.00003
14,2.64779,5,0.00004
15,2.87605,5,0.00002
16,3.05856,5,0.00002
17,3.21041,5,0.00002
18,3.3636,5,0.00002
19,3.52077,5,0.00004
20,3.66937,5,0.00005
21,3.87904,5,0.00002
