PinNo,Measurement,NoOfMeasurement,Stdev
1,0.07619,5,0.00002
2,0.16708,5,0.00003
3,0.33108,5,0.00003
4,0.47722,5,0.00005
5,0.69025,5,0.00002
6,0.87635,5,0.00002
7,1.07603,5,0.00003
8,1.28109,5,0.00004
9,1.5282,5,0.00004
10,1.79577,5,0.00004
11,2.12917,5,0.00005
12,2.39311,5,0.00011
13,2.51899,5,0.00006
14,2.64902,5,0.00016
15,2.87748,5,0.00005
16,3.05974,5,0.00011
17,3.21185,5,0.00006
18,3.36488,5,0.00012
19,3.52215,5,0.00012
20,3.67133,5,0.00017
21,3.88079,5,0.00009
