PinNo,Measurement,NoOfMeasurement,Stdev
1,0.07578,5,0.00003
2,0.16663,5,0.00001
3,0.33072,5,0.00005
4,0.47688,5,0.00004
5,0.68999,5,0.00006
6,0.87594,5,0.00001
7,1.0756,5,0.00001
8,1.28073,5,0.00002
9,1.52787,5,0.00004
10,1.79548,5,0.00006
11,2.12863,5,0.00006
12,2.39226,5,0.00002
13,2.51844,5,0.00005
14,2.64799,5,0.00003
15,2.87692,5,0.00003
16,3.05934,5,0.00007
17,3.21121,5,0.00006
18,3.36444,5,0.00011
19,3.52137,5,0.00003
20,3.67005,5,0.00005
21,3.87976,5,0.00007
