Suburb,Post Code,State,State Code
ACT Remainder - Jerrabomberra,2620,Australian Capital Territory,ACT
ACT Remainder - Kowen,2620,Australian Capital Territory,ACT
ACT Remainder - Rendezvous Creek,2620,Australian Capital Territory,ACT
Beard,2620,Australian Capital Territory,ACT
Hume,2620,Australian Capital Territory,ACT
Oaks Estate,2620,Australian Capital Territory,ACT
ACT Remainder - Tuggeranong,2900,Australian Capital Territory,ACT
ACT Remainder - Gungahlin,2912,Australian Capital Territory,ACT
Haymarket,2000,New South Wales,NSW
Ultimo,2007,New South Wales,NSW
Chippendale,2008,New South Wales,NSW
Darlington - Sydney,2008,New South Wales,NSW
Darlinghurst,2010,New South Wales,NSW
Surry Hills,2010,New South Wales,NSW
Rushcutters Bay,2011,New South Wales,NSW
Alexandria,2015,New South Wales,NSW
Beaconsfield ,2015,New South Wales,NSW
Eveleigh,2015,New South Wales,NSW
Redfern,2016,New South Wales,NSW
Waterloo ,2017,New South Wales,NSW
Zetland,2017,New South Wales,NSW
Eastlakes,2018,New South Wales,NSW
Rosebery ,2018,New South Wales,NSW
Centennial Park ,2021,New South Wales,NSW
Moore Park,2021,New South Wales,NSW
Paddington ,2021,New South Wales,NSW
Bondi Junction,2022,New South Wales,NSW
Queens Park ,2022,New South Wales,NSW
Bellevue Hill,2023,New South Wales,NSW
Waverley ,2024,New South Wales,NSW
Woollahra,2025,New South Wales,NSW
Edgecliff,2027,New South Wales,NSW
Randwick,2031,New South Wales,NSW
Daceyville,2032,New South Wales,NSW
Kingsford ,2032,New South Wales,NSW
Kensington ,2033,New South Wales,NSW
Pagewood,2035,New South Wales,NSW
Chifley ,2036,New South Wales,NSW
Eastgardens,2036,New South Wales,NSW
Hillsdale,2036,New South Wales,NSW
Matraville,2036,New South Wales,NSW
Forest Lodge,2037,New South Wales,NSW
Leichhardt ,2040,New South Wales,NSW
Enmore - Inner West,2042,New South Wales,NSW
Marrickville,2042,New South Wales,NSW
Newtown ,2042,New South Wales,NSW
Erskineville,2043,New South Wales,NSW
St Peters ,2044,New South Wales,NSW
Sydenham ,2044,New South Wales,NSW
Tempe,2044,New South Wales,NSW
Wareemba,2046,New South Wales,NSW
Stanmore ,2048,New South Wales,NSW
Lewisham ,2049,New South Wales,NSW
Petersham,2049,New South Wales,NSW
Camperdown ,2050,New South Wales,NSW
Artarmon,2064,New South Wales,NSW
Crows Nest ,2065,New South Wales,NSW
Naremburn,2065,New South Wales,NSW
St Leonards ,2065,New South Wales,NSW
Lane Cove,2066,New South Wales,NSW
Lane Cove North,2066,New South Wales,NSW
Chatswood,2067,New South Wales,NSW
Chatswood West,2067,New South Wales,NSW
North Willoughby,2068,New South Wales,NSW
Willoughby ,2068,New South Wales,NSW
Willoughby East,2068,New South Wales,NSW
Roseville,2069,New South Wales,NSW
East Lindfield,2070,New South Wales,NSW
Lindfield,2070,New South Wales,NSW
East Killara,2071,New South Wales,NSW
Killara ,2071,New South Wales,NSW
Gordon ,2072,New South Wales,NSW
Pymble,2073,New South Wales,NSW
West Pymble,2073,New South Wales,NSW
North Turramurra,2074,New South Wales,NSW
South Turramurra,2074,New South Wales,NSW
Turramurra,2074,New South Wales,NSW
Warrawee,2074,New South Wales,NSW
St Ives ,2075,New South Wales,NSW
St Ives Chase,2075,New South Wales,NSW
Normanhurst,2076,New South Wales,NSW
North Wahroonga,2076,New South Wales,NSW
Wahroonga,2076,New South Wales,NSW
Asquith,2077,New South Wales,NSW
Hornsby,2077,New South Wales,NSW
Hornsby Heights,2077,New South Wales,NSW
Waitara,2077,New South Wales,NSW
Duffys Forest,2084,New South Wales,NSW
Terrey Hills,2084,New South Wales,NSW
Belrose,2085,New South Wales,NSW
Davidson,2085,New South Wales,NSW
Frenchs Forest,2086,New South Wales,NSW
Manly Vale,2093,New South Wales,NSW
North Balgowlah,2093,New South Wales,NSW
Collaroy Plateau,2097,New South Wales,NSW
Wheeler Heights,2097,New South Wales,NSW
Narraweena,2099,New South Wales,NSW
Oxford Falls,2099,New South Wales,NSW
Allambie Heights,2100,New South Wales,NSW
Beacon Hill,2100,New South Wales,NSW
Brookvale,2100,New South Wales,NSW
Frenchs Forest,2100,New South Wales,NSW
North Manly,2100,New South Wales,NSW
Bilgola Plateau,2107,New South Wales,NSW
Denistone East,2112,New South Wales,NSW
Macquarie Park,2113,New South Wales,NSW
Denistone,2114,New South Wales,NSW
Denistone West,2114,New South Wales,NSW
West Ryde,2114,New South Wales,NSW
Dundas ,2115,New South Wales,NSW
Carlingford,2117,New South Wales,NSW
Dundas ,2117,New South Wales,NSW
Dundas Valley,2117,New South Wales,NSW
Oatlands ,2117,New South Wales,NSW
Telopea,2117,New South Wales,NSW
Carlingford,2118,New South Wales,NSW
Beecroft,2119,New South Wales,NSW
Cheltenham ,2119,New South Wales,NSW
Pennant Hills,2120,New South Wales,NSW
Thornleigh,2120,New South Wales,NSW
Westleigh,2120,New South Wales,NSW
Cheltenham ,2121,New South Wales,NSW
Epping ,2121,New South Wales,NSW
North Epping,2121,New South Wales,NSW
Eastwood ,2122,New South Wales,NSW
Marsfield,2122,New South Wales,NSW
West Pennant Hills,2125,New South Wales,NSW
Cherrybrook,2126,New South Wales,NSW
Newington ,2127,New South Wales,NSW
Silverwater - Parramatta,2128,New South Wales,NSW
Summer Hill - Inner West,2130,New South Wales,NSW
Ashfield ,2131,New South Wales,NSW
Croydon ,2132,New South Wales,NSW
Croydon Park ,2133,New South Wales,NSW
Burwood ,2134,New South Wales,NSW
Strathfield ,2135,New South Wales,NSW
Burwood Heights,2136,New South Wales,NSW
Enfield ,2136,New South Wales,NSW
Strathfield South,2136,New South Wales,NSW
North Strathfield,2137,New South Wales,NSW
Homebush ,2140,New South Wales,NSW
Homebush West,2140,New South Wales,NSW
Berala,2141,New South Wales,NSW
Lidcombe,2141,New South Wales,NSW
Rookwood ,2141,New South Wales,NSW
Camellia,2142,New South Wales,NSW
Clyde ,2142,New South Wales,NSW
Granville ,2142,New South Wales,NSW
Holroyd,2142,New South Wales,NSW
Merrylands,2142,New South Wales,NSW
Rosehill ,2142,New South Wales,NSW
South Granville,2142,New South Wales,NSW
Birrong,2143,New South Wales,NSW
Potts Hill,2143,New South Wales,NSW
Regents Park ,2143,New South Wales,NSW
Auburn ,2144,New South Wales,NSW
Constitution Hill,2145,New South Wales,NSW
Girraween ,2145,New South Wales,NSW
Greystanes,2145,New South Wales,NSW
Mays Hill,2145,New South Wales,NSW
Pemulwuy,2145,New South Wales,NSW
Pendle Hill,2145,New South Wales,NSW
South Wentworthville,2145,New South Wales,NSW
Wentworthville,2145,New South Wales,NSW
Westmead,2145,New South Wales,NSW
Old Toongabbie,2146,New South Wales,NSW
Toongabbie ,2146,New South Wales,NSW
Kings Langley,2147,New South Wales,NSW
Lalor Park,2147,New South Wales,NSW
Seven Hills ,2147,New South Wales,NSW
Arndell Park,2148,New South Wales,NSW
Blacktown,2148,New South Wales,NSW
Huntingwood,2148,New South Wales,NSW
Kings Park ,2148,New South Wales,NSW
Marayong,2148,New South Wales,NSW
Pemulwuy,2148,New South Wales,NSW
Prospect ,2148,New South Wales,NSW
Harris Park,2150,New South Wales,NSW
Parramatta,2150,New South Wales,NSW
North Parramatta,2151,New South Wales,NSW
North Rocks,2151,New South Wales,NSW
Northmead,2152,New South Wales,NSW
Baulkham Hills,2153,New South Wales,NSW
Bella Vista,2153,New South Wales,NSW
Norwest,2153,New South Wales,NSW
Winston Hills,2153,New South Wales,NSW
Castle Hill ,2154,New South Wales,NSW
Beaumont Hills,2155,New South Wales,NSW
Kellyville,2155,New South Wales,NSW
Kellyville Ridge,2155,New South Wales,NSW
North Kellyville,2155,New South Wales,NSW
Rouse Hill,2155,New South Wales,NSW
Annangrove,2156,New South Wales,NSW
Glenhaven,2156,New South Wales,NSW
Kenthurst,2156,New South Wales,NSW
Forest Glen ,2157,New South Wales,NSW
Glenorie,2157,New South Wales,NSW
Dural - Hornsby,2158,New South Wales,NSW
Middle Dural,2158,New South Wales,NSW
Galston,2159,New South Wales,NSW
Merrylands,2160,New South Wales,NSW
Merrylands West,2160,New South Wales,NSW
Guildford ,2161,New South Wales,NSW
Guildford West,2161,New South Wales,NSW
Old Guildford,2161,New South Wales,NSW
Yennora,2161,New South Wales,NSW
Chester Hill,2162,New South Wales,NSW
Sefton,2162,New South Wales,NSW
Carramar ,2163,New South Wales,NSW
Lansdowne - Canterbury-Bankstown,2163,New South Wales,NSW
Villawood,2163,New South Wales,NSW
Smithfield ,2164,New South Wales,NSW
Wetherill Park,2164,New South Wales,NSW
Woodpark,2164,New South Wales,NSW
Fairfield ,2165,New South Wales,NSW
Fairfield East,2165,New South Wales,NSW
Fairfield Heights,2165,New South Wales,NSW
Fairfield West,2165,New South Wales,NSW
Wakeley,2165,New South Wales,NSW
Cabramatta,2166,New South Wales,NSW
Cabramatta West,2166,New South Wales,NSW
Canley Heights,2166,New South Wales,NSW
Canley Vale,2166,New South Wales,NSW
Lansvale,2166,New South Wales,NSW
Glenfield ,2167,New South Wales,NSW
Ashcroft,2168,New South Wales,NSW
Busby,2168,New South Wales,NSW
Cartwright,2168,New South Wales,NSW
Green Valley ,2168,New South Wales,NSW
Heckenberg,2168,New South Wales,NSW
Hinchinbrook ,2168,New South Wales,NSW
Miller,2168,New South Wales,NSW
Sadleir,2168,New South Wales,NSW
Casula,2170,New South Wales,NSW
Chipping Norton,2170,New South Wales,NSW
Hammondville,2170,New South Wales,NSW
Liverpool,2170,New South Wales,NSW
Lurnea,2170,New South Wales,NSW
Moorebank,2170,New South Wales,NSW
Mount Pritchard,2170,New South Wales,NSW
Prestons,2170,New South Wales,NSW
Warwick Farm,2170,New South Wales,NSW
Carnes Hill,2171,New South Wales,NSW
Cecil Hills,2171,New South Wales,NSW
Elizabeth Hills,2171,New South Wales,NSW
Horningsea Park,2171,New South Wales,NSW
Hoxton Park,2171,New South Wales,NSW
Len Waters Estate,2171,New South Wales,NSW
Middleton Grange,2171,New South Wales,NSW
West Hoxton,2171,New South Wales,NSW
Pleasure Point,2172,New South Wales,NSW
Sandy Point ,2172,New South Wales,NSW
Voyager Point,2172,New South Wales,NSW
Holsworthy,2173,New South Wales,NSW
Wattle Grove ,2173,New South Wales,NSW
Edmondson Park,2174,New South Wales,NSW
Horsley Park,2175,New South Wales,NSW
Abbotsbury,2176,New South Wales,NSW
Bossley Park,2176,New South Wales,NSW
Edensor Park,2176,New South Wales,NSW
Greenfield Park,2176,New South Wales,NSW
Prairiewood,2176,New South Wales,NSW
St Johns Park,2176,New South Wales,NSW
Wakeley,2176,New South Wales,NSW
Bonnyrigg,2177,New South Wales,NSW
Bonnyrigg Heights,2177,New South Wales,NSW
Austral,2178,New South Wales,NSW
Cecil Park,2178,New South Wales,NSW
Kemps Creek,2178,New South Wales,NSW
Mount Vernon,2178,New South Wales,NSW
Austral,2179,New South Wales,NSW
Edmondson Park,2179,New South Wales,NSW
Leppington,2179,New South Wales,NSW
Chullora,2190,New South Wales,NSW
Greenacre,2190,New South Wales,NSW
Mount Lewis,2190,New South Wales,NSW
Strathfield ,2190,New South Wales,NSW
Belfield,2191,New South Wales,NSW
Belmore,2192,New South Wales,NSW
Ashbury,2193,New South Wales,NSW
Canterbury ,2193,New South Wales,NSW
Hurlstone Park,2193,New South Wales,NSW
Campsie,2194,New South Wales,NSW
Lakemba,2195,New South Wales,NSW
Wiley Park,2195,New South Wales,NSW
Punchbowl - Canterbury-Bankstown,2196,New South Wales,NSW
Roselands,2196,New South Wales,NSW
Bass Hill,2197,New South Wales,NSW
Bass Hill,2198,New South Wales,NSW
Georges Hall,2198,New South Wales,NSW
Yagoona,2199,New South Wales,NSW
Bankstown,2200,New South Wales,NSW
Bankstown Aerodrome,2200,New South Wales,NSW
Condell Park,2200,New South Wales,NSW
Dulwich Hill,2203,New South Wales,NSW
Dulwich Hill,2204,New South Wales,NSW
Marrickville,2204,New South Wales,NSW
Arncliffe,2205,New South Wales,NSW
Turrella,2205,New South Wales,NSW
Wolli Creek,2205,New South Wales,NSW
Clemton Park,2206,New South Wales,NSW
Earlwood,2206,New South Wales,NSW
Bardwell Park,2207,New South Wales,NSW
Bardwell Valley,2207,New South Wales,NSW
Bexley,2207,New South Wales,NSW
Bexley North,2207,New South Wales,NSW
Kingsgrove,2207,New South Wales,NSW
Kingsgrove,2208,New South Wales,NSW
Beverly Hills,2209,New South Wales,NSW
Narwee,2209,New South Wales,NSW
Revesby,2212,New South Wales,NSW
East Hills,2213,New South Wales,NSW
Panania,2213,New South Wales,NSW
Milperra,2214,New South Wales,NSW
Banksia,2216,New South Wales,NSW
Rockdale,2216,New South Wales,NSW
Beverley Park,2217,New South Wales,NSW
Kogarah,2217,New South Wales,NSW
Ramsgate,2217,New South Wales,NSW
Allawah,2218,New South Wales,NSW
Bexley,2218,New South Wales,NSW
Carlton ,2218,New South Wales,NSW
Hurstville,2220,New South Wales,NSW
South Hurstville,2221,New South Wales,NSW
Beverly Hills,2222,New South Wales,NSW
Penshurst ,2222,New South Wales,NSW
Gymea,2227,New South Wales,NSW
Kirrawee,2227,New South Wales,NSW
Greenhills Beach,2230,New South Wales,NSW
Kirrawee,2232,New South Wales,NSW
Loftus,2232,New South Wales,NSW
Sutherland ,2232,New South Wales,NSW
Engadine,2233,New South Wales,NSW
Heathcote ,2233,New South Wales,NSW
Waterfall,2233,New South Wales,NSW
Woronora Heights,2233,New South Wales,NSW
Yarrawarrah,2233,New South Wales,NSW
Barden Ridge,2234,New South Wales,NSW
Lucas Heights,2234,New South Wales,NSW
Menai,2234,New South Wales,NSW
Bucketty,2250,New South Wales,NSW
Calga,2250,New South Wales,NSW
Central Mangrove,2250,New South Wales,NSW
Greengrove,2250,New South Wales,NSW
Holgate,2250,New South Wales,NSW
Kariong,2250,New South Wales,NSW
Kulnura,2250,New South Wales,NSW
Lisarow,2250,New South Wales,NSW
Mangrove Creek,2250,New South Wales,NSW
Mangrove Mountain,2250,New South Wales,NSW
Matcham,2250,New South Wales,NSW
Mount Elliot ,2250,New South Wales,NSW
Narara,2250,New South Wales,NSW
Niagara Park,2250,New South Wales,NSW
North Gosford,2250,New South Wales,NSW
Peats Ridge,2250,New South Wales,NSW
Somersby,2250,New South Wales,NSW
Springfield - Central Coast,2250,New South Wales,NSW
Ten Mile Hollow,2250,New South Wales,NSW
Upper Mangrove,2250,New South Wales,NSW
Wyoming,2250,New South Wales,NSW
Picketts Valley,2251,New South Wales,NSW
Fountaindale,2258,New South Wales,NSW
Kangy Angy,2258,New South Wales,NSW
Ourimbah,2258,New South Wales,NSW
Palm Grove ,2258,New South Wales,NSW
Palmdale ,2258,New South Wales,NSW
Alison - Central Coast,2259,New South Wales,NSW
Bushells Ridge,2259,New South Wales,NSW
Cedar Brush Creek,2259,New South Wales,NSW
Dooralong,2259,New South Wales,NSW
Durren Durren,2259,New South Wales,NSW
Freemans,2259,New South Wales,NSW
Halloran,2259,New South Wales,NSW
Hamlyn Terrace,2259,New South Wales,NSW
Jilliby,2259,New South Wales,NSW
Kanwal,2259,New South Wales,NSW
Kiar,2259,New South Wales,NSW
Lemon Tree,2259,New South Wales,NSW
Little Jilliby,2259,New South Wales,NSW
Mardi,2259,New South Wales,NSW
Ravensdale,2259,New South Wales,NSW
Wadalba,2259,New South Wales,NSW
Wallarah,2259,New South Wales,NSW
Warnervale,2259,New South Wales,NSW
Watanobbi,2259,New South Wales,NSW
Woongarrah,2259,New South Wales,NSW
Wyong,2259,New South Wales,NSW
Wyong Creek,2259,New South Wales,NSW
Yarramalong,2259,New South Wales,NSW
Erina Heights,2260,New South Wales,NSW
Glenning Valley,2261,New South Wales,NSW
Tumbi Umbi,2261,New South Wales,NSW
Blue Haven,2262,New South Wales,NSW
Doyalson,2262,New South Wales,NSW
Doyalson North,2262,New South Wales,NSW
Mandalong,2264,New South Wales,NSW
Cooranbong,2265,New South Wales,NSW
Martinsville,2265,New South Wales,NSW
Barnsley,2278,New South Wales,NSW
Killingworth ,2278,New South Wales,NSW
Wakefield,2278,New South Wales,NSW
Belmont North,2280,New South Wales,NSW
Floraville,2280,New South Wales,NSW
Jewells,2280,New South Wales,NSW
Lakelands ,2282,New South Wales,NSW
Awaba,2283,New South Wales,NSW
Ryhope,2283,New South Wales,NSW
Argenton,2284,New South Wales,NSW
Boolaroo,2284,New South Wales,NSW
Woodrising,2284,New South Wales,NSW
Cameron Park,2285,New South Wales,NSW
Cardiff ,2285,New South Wales,NSW
Cardiff Heights,2285,New South Wales,NSW
Cardiff South,2285,New South Wales,NSW
Edgeworth,2285,New South Wales,NSW
Glendale ,2285,New South Wales,NSW
Macquarie Hills,2285,New South Wales,NSW
Holmesville,2286,New South Wales,NSW
Seahampton,2286,New South Wales,NSW
West Wallsend,2286,New South Wales,NSW
Birmingham Gardens,2287,New South Wales,NSW
Elermore Vale,2287,New South Wales,NSW
Fletcher ,2287,New South Wales,NSW
Maryland - Newcastle,2287,New South Wales,NSW
Minmi,2287,New South Wales,NSW
Rankin Park,2287,New South Wales,NSW
Wallsend,2287,New South Wales,NSW
Adamstown,2289,New South Wales,NSW
Adamstown Heights,2289,New South Wales,NSW
Charlestown ,2289,New South Wales,NSW
Garden Suburb,2289,New South Wales,NSW
Highfields ,2289,New South Wales,NSW
Kotara,2289,New South Wales,NSW
Kotara South,2289,New South Wales,NSW
New Lambton,2289,New South Wales,NSW
